candidate,fox headline mentions
joseph r biden,1295
jo jorgensen,2
howie hawkins,0
donald j trump,2622
brian carroll,0
gloria la riva,0
andy hope williams jr,0
barbara bellar,0
david jeffrey nash,0
deborah rouse,0
don blankenship,0
shawn howrd,0
jade simmons,0
joseph kishore,0
kasey wells,0
kevin mckee,0
mark charles,0
phil collins,1
randall foltyniewicz,0
todd cella,0
chris franklin,0
katherine forbes,0
kathryn gibson,0
"rocque ""rocky"" de la fuente",0
brock pierce,0
bernie sanders,283
kanye west,132
ryan ehrenreich,0
tulsi gabbard,35
shawn howard,0
dario hunter,0
