candidate,nyt headline mentions,nyt lead paragraph mentions
joseph r biden,1278,2177
jo jorgensen,0,0
howie hawkins,2,4
donald j trump,3801,4775
brian carroll,0,0
gloria la riva,0,0
andy hope williams jr,0,0
barbara bellar,0,0
david jeffrey nash,0,0
deborah rouse,0,0
don blankenship,0,0
shawn howrd,0,0
jade simmons,0,0
joseph kishore,0,0
kasey wells,0,0
kevin mckee,0,0
mark charles,0,0
phil collins,1,2
randall foltyniewicz,0,0
todd cella,0,0
chris franklin,0,0
katherine forbes,0,0
kathryn gibson,0,0
"rocque ""rocky"" de la fuente",0,0
brock pierce,0,0
bernie sanders,447,593
kanye west,32,53
ryan ehrenreich,0,0
tulsi gabbard,5,4
shawn howard,0,0
dario hunter,0,1
